Date,Time,Direction,Type,Occupancy,Colour,Brand
25-10-2023,8.35am,in,car,1,Blue,Volkswagen
25-10-2023,8.35am,in,car,1,Grey,Mini
25-10-2023,8.35am,in,car,1,Black,Ford
25-10-2023,8.35am,in,bicycle,1,Black,
25-10-2023,8.35am,in,car,1,Grey,Ford
25-10-2023,8.35am,in,car,1,Black,Skoda
25-10-2023,8.35am,in,car,1,Black,Ford
25-10-2023,8.35am,in,car,1,Red,Seat
25-10-2023,8.35am,in,car,2,Grey,Hyundai
25-10-2023,8.35am,in,car,1,Grey,Nissan
25-10-2023,8.35am,in,car,1,Black,BMW
25-10-2023,8.35am,in,car,1,White,Citroen
25-10-2023,8.35am,in,car,1,White,Fiat
25-10-2023,8.35am,in,car,1,Green,Skoda
25-10-2023,8.35am,in,car,1,Black,Audi
25-10-2023,8.35am,in,car,1,Red,Ford
25-10-2023,8.35am,in,motorbike,1,Black,
25-10-2023,8.35am,in,car,1,Red,Seat
25-10-2023,8.35am,in,bus,80%,Blue,
25-10-2023,8.35am,in,car,1,Red,Hyundai
25-10-2023,8.35am,in,car,1,White,Mercedes Benz
25-10-2023,8.35am,in,car,4,Blue,Hyundai
25-10-2023,8.35am,in,car,1,Blue,Ford
25-10-2023,8.40am,in,car,1,Grey,Vauxhall
25-10-2023,8.40am,in,car,1,Red,Suzuki
25-10-2023,8.40am,in,bus,100%,Blue,
25-10-2023,8.40am,in,car,1,Grey,Peugeot
25-10-2023,8.40am,in,car,1,Grey,Volkswagen
25-10-2023,8.40am,in,car,1,White,Mini
25-10-2023,8.40am,in,car,1,Black,Volkswagen
25-10-2023,8.40am,in,car,1,White,Seat
25-10-2023,8.40am,in,car,1,Orange,Volkswagen
25-10-2023,8.40am,in,car,1,Black,Volvo
25-10-2023,8.40am,in,car,1,White,BMW
25-10-2023,8.40am,in,car,1,Yellow,Volkswagen
25-10-2023,8.40am,in,car,2,Grey,Toyota
25-10-2023,8.40am,in,car,1,Grey,Jaguar
25-10-2023,8.40am,in,car,1,Black,Mini
25-10-2023,8.40am,in,car,1,Black,Suzuki
25-10-2023,8.40am,in,car,2,Grey,Kia
25-10-2023,8.40am,in,car,1,Grey,Honda
25-10-2023,8.40am,in,car,1,Black,BMW
25-10-2023,8.40am,in,car,1,Blue,Vauxhall
25-10-2023,8.40am,in,car,1,Grey,Honda
25-10-2023,8.40am,in,car,3,Grey,Hyundai
25-10-2023,8.40am,in,car,1,Red,Volkswagen
25-10-2023,8.40am,in,car,1,Blue,Seat
25-10-2023,8.40am,in,car,2,Blue,Volkswagen
25-10-2023,8.40am,in,car,1,Blue,Ford
25-10-2023,8.45am,in,car,2,White,Volkswagen
25-10-2023,8.45am,in,bus,100%,Blue,
25-10-2023,8.45am,in,car,1,Black,BMW
25-10-2023,8.45am,in,car,2,Red,Ford
25-10-2023,8.45am,in,car,1,Cream,Volkswagen
25-10-2023,8.45am,in,car,1,Grey,Ford
25-10-2023,8.45am,in,car,1,Black,Ford
25-10-2023,8.45am,in,bus,50%,Green,
25-10-2023,8.45am,in,car,1,Black,Volkswagen
25-10-2023,8.45am,in,car,1,Grey,Ford
25-10-2023,8.45am,in,car,1,Grey,Mini
25-10-2023,8.45am,in,car,1,Grey,Peugeot
25-10-2023,8.45am,in,car,1,Grey,Nissan
25-10-2023,8.45am,in,car,1,Blue,Renault
25-10-2023,8.45am,in,car,1,Red,Seat
25-10-2023,8.45am,in,car,1,Blue,Skoda
25-10-2023,8.45am,in,car,1,Black,Toyota
25-10-2023,8.45am,in,bus,20%,Blue,
25-10-2023,8.45am,in,car,1,Blue,MG
25-10-2023,8.45am,in,car,1,Black,Volkswagen
25-10-2023,8.45am,in,car,1,Red,Fiat
25-10-2023,8.45am,in,van,1,Grey,Ford
25-10-2023,8.45am,in,car,1,Blue,Renault
25-10-2023,8.45am,in,car,2,Black,Vauxhall
25-10-2023,8.45am,in,bicycle,1,Black,
