Date,Time,Direction,Type,Occupancy,Service,Size
25-10-2023,11:00am,in,car,2,null,null
25-10-2023,11:00am,in,car,2,null,null
25-10-2023,11:00am,in,bus,100%,U2,double decker
25-10-2023,11:00am,in,car,2,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,3,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,3,null,null
25-10-2023,11:00am,in,car,2,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,1,null,null
25-10-2023,11:00am,in,car,2,null,null
