Date,Time,Direction,Type,Occupancy,Origin,AdditionalData2
26-10-2023,10.35am,in,car,4,right,null
26-10-2023,10.35am,in,car,2,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,4,left,null
26-10-2023,10.35am,in,car,2,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,car,1,left,null
26-10-2023,10.35am,in,bus,75%,right,null
26-10-2023,10.35am,in,bus,50%,right,null
26-10-2023,10.35am,in,van,1,right,null
26-10-2023,10.35am,in,van,1,left,null
26-10-2023,10.35am,in,van,1,left,null
26-10-2023,10.35am,in,van,1,left,null
26-10-2023,10.35am,in,lorry,1,right,null
26-10-2023,10.35am,in,bicycle,1,right,null
26-10-2023,10.40am,in,car,2,right,null
26-10-2023,10.40am,in,car,2,right,null
26-10-2023,10.40am,in,car,2,right,null
26-10-2023,10.40am,in,car,3,right,null
26-10-2023,10.40am,in,car,3,left,null
26-10-2023,10.40am,in,car,1,left,null
26-10-2023,10.40am,in,car,1,left,null
26-10-2023,10.40am,in,car,1,left,null
26-10-2023,10.40am,in,car,1,left,null
26-10-2023,10.40am,in,bus,50%,right,null
26-10-2023,10.40am,in,bicycle,1,right,null
26-10-2023,10.40am,in,scooter,1,right,null
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
