Date,Time,Direction,Type,Occupancy,Colour,AgeIdentifier
23-10-23,10.45am,in,car,1,black,68
23-10-23,10.45am,in,car,3,black,69
23-10-23,10.45am,in,car,1,silver,17
23-10-23,10.45am,in,car,1,white,61
23-10-23,10.45am,in,car,2,black,61
23-10-23,10.45am,in,car,1,grey,23
23-10-23,10.45am,in,van,1,white,66
23-10-23,10.45am,in,car,2,black,66
23-10-23,10.45am,in,car,4,black,61
23-10-23,10.45am,in,car,3,silver,14
23-10-23,10.45am,in,car,1,silver,10
23-10-23,10.45am,in,car,3,black,65
23-10-23,10.45am,in,car,1,white,17
23-10-23,10.45am,in,car,2,silver,15
23-10-23,10.45am,in,car,1,black,13
23-10-23,10.45am,in,car,2,silver,15
23-10-23,10.45am,in,car,2,black,64
23-10-23,10.45am,in,bus,90%,green,66
23-10-23,10.45am,in,car,1,silver,62
23-10-23,10.45am,in,car,5,silver,65
23-10-23,10.45am,in,car,1,silver,66
23-10-23,10.45am,in,car,3,silver,10
23-10-23,10.45am,in,van,2,black,68
23-10-23,10.45am,in,car,2,white,11
23-10-23,10.45am,in,car,3,white,61
23-10-23,10.50am,in,car,1,black,66
23-10-23,10.50am,in,car,2,red,10
23-10-23,10.50am,in,car,2,blue,65
23-10-23,10.50am,in,car,2,silver,09
23-10-23,10.50am,in,car,1,silver,70
23-10-23,10.50am,in,car,1,white,02
23-10-23,10.50am,in,car,1,silver,07
23-10-23,10.50am,in,car,1,white,03
23-10-23,10.50am,in,car,2,blue,65
23-10-23,10.50am,in,car,2,red,11
23-10-23,10.50am,in,car,2,silver,17
23-10-23,10.50am,in,car,3,black,21
23-10-23,10.50am,in,car,2,black,19
23-10-23,10.50am,in,car,2,silver,64
23-10-23,10.50am,in,car,2,black,18
23-10-23,10.50am,in,car,2,silver,12
23-10-23,10.50am,in,car,2,blue,15
23-10-23,10.50am,in,car,1,blue,69
23-10-23,10.50am,in,car,1,blue,08
23-10-23,10.50am,in,car,4,white,65
23-10-23,10.50am,in,car,1,white,custom
23-10-23,10.50am,in,car,2,blue,20
23-10-23,10.50am,in,car,1,white,21
23-10-23,10.50am,in,car,3,white,63
23-10-23,10.55am,in,car,1,silver,59
23-10-23,10.55am,in,bus,100%,blue,66
23-10-23,10.55am,in,car,2,silver,61
23-10-23,10.55am,in,car,1,white,23
23-10-23,10.55am,in,car,1,blue,27
23-10-23,10.55am,in,car,1,white,13
23-10-23,10.55am,in,van,1,white,68
23-10-23,10.55am,in,car,1,black,09
23-10-23,10.55am,in,car,5,silver,21
23-10-23,10.55am,in,car,1,black,72
23-10-23,10.55am,in,car,2,white,72
23-10-23,10.55am,in,car,3,black,14
23-10-23,10.55am,in,car,1,silver,17
23-10-23,10.55am,in,bicycle,1,black,n/a
23-10-23,10.55am,in,car,2,white,custom
23-10-23,10.55am,in,car,2,black,21
23-10-23,10.55am,in,car,1,blue,15
23-10-23,10.55am,in,car,2,silver,09
23-10-23,10.55am,in,car,1,silver,06
23-10-23,10.55am,in,car,1,white,64
23-10-23,10.55am,in,car,3,silver,custom
23-10-23,10.55am,in,car,3,white,65
23-10-23,10.55am,in,car,2,black,58
23-10-23,10.55am,in,car,2,white,69
23-10-23,10.55am,in,car,2,black,12
23-10-23,10.55am,in,car,2,silver,17
23-10-23,10.55am,in,car,1,blue,62
23-10-23,10.55am,in,car,1,white,66
23-10-23,11.00am,in,car,1,red,custom
