Date,Time,Direction,Type,Occupancy,Driver_Gender,Mode_of_Travel
26-10-2023,9:04 AM,IN,car,2,Male,Private
26-10-2023,9:04 AM,IN,car,2,Male,Private
26-10-2023,9:04 AM,IN,bicycle,1,Female,Private
26-10-2023,9:04 AM,IN,car,2,Female,Private
26-10-2023,9:04 AM,IN,car,1,Male,Private
26-10-2023,9:04 AM,IN,car,1,Female,Private
26-10-2023,9:05 AM,IN,bicycle,1,Male,Private
26-10-2023,9:05 AM,IN,motorbike,1,Male,Private
26-10-2023,9:05 AM,IN,car,1,Male,Private
26-10-2023,9:05 AM,IN,car,2,Male,Private
26-10-2023,9:05 AM,IN,car,2,Male,Private
26-10-2023,9:05 AM,IN,car,2,Male,Private
26-10-2023,9:05 AM,IN,car,2,Male,Private
26-10-2023,9:06 AM,IN,car,2,Female,Private
26-10-2023,9:06 AM,IN,bus,80%,Male,Public
26-10-2023,9:06 AM,IN,car,1,Male,Private
26-10-2023,9:06 AM,IN,car,1,Male,Private
26-10-2023,9:06 AM,IN,motorbike,1,Male,Private
26-10-2023,9:06 AM,IN,lorry,2,Male,Commercial
26-10-2023,9:06 AM,IN,car,1,Female,Private
26-10-2023,9:06 AM,IN,car,1,Female,Private
26-10-2023,9:06 AM,IN,car,1,Male,Private
26-10-2023,9:06 AM,IN,car,1,Male,Private
26-10-2023,9:06 AM,IN,car,1,Male,Private
26-10-2023,9:07 AM,IN,car,2,Male,Private
26-10-2023,9:07 AM,IN,car,1,Male,Private
26-10-2023,9:07 AM,IN,motorbike,1,Male,Private
26-10-2023,9:07 AM,IN,bicycle,1,Female,Private
26-10-2023,9:07 AM,IN,car,2,Male,Private
26-10-2023,9:07 AM,IN,car,2,Male,Private
26-10-2023,9:07 AM,IN,bus,50%,Male,Public
26-10-2023,9:07 AM,IN,car,1,Male,Private
26-10-2023,9:08 AM,IN,bicycle,1,Male,Private
26-10-2023,9:08 AM,IN,bicycle,1,Male,Private
26-10-2023,9:08 AM,IN,car,1,Male,Private
26-10-2023,9:08 AM,IN,car,1,Male,Private
26-10-2023,9:08 AM,IN,car,1,Female,Private
26-10-2023,9:08 AM,IN,car,1,Male,Private
26-10-2023,9:09 AM,IN,car,2,Female,Private
26-10-2023,9:09 AM,IN,car,1,Male,Private
26-10-2023,9:09 AM,IN,car,1,Male,Private
26-10-2023,9:09 AM,IN,car,1,Male,Private
26-10-2023,9:09 AM,IN,car,1,Male,Private
26-10-2023,9:09 AM,IN,car,2,Male,Private
26-10-2023,9:09 AM,IN,car,3,Female,Private
26-10-2023,9:10 AM,IN,car,1,Male,Private
26-10-2023,9:10 AM,IN,bicycle,1,Male,Private
26-10-2023,9:10 AM,IN,bus,100%,Male,Public
26-10-2023,9:10 AM,IN,car,1,Female,Private
26-10-2023,9:10 AM,IN,car,2,Female,Private
26-10-2023,9:10 AM,IN,car,2,Female,Private
26-10-2023,9:11 AM,IN,car,1,Male,Private
26-10-2023,9:11 AM,IN,car,1,Female,Private
26-10-2023,9:11 AM,IN,taxi,3,Female,Rented
26-10-2023,9:11 AM,IN,car,2,Male,Private
26-10-2023,9:11 AM,IN,car,1,Female,Private
26-10-2023,9:11 AM,IN,van,2,Male,Private
26-10-2023,9:11 AM,IN,bicycle,1,Male,Private
26-10-2023,9:12 AM,IN,bicycle,1,Male,Private
26-10-2023,9:12 AM,IN,car,1,Female,Private
26-10-2023,9:12 AM,IN,car,1,Male,Private
26-10-2023,9:12 AM,IN,car,4,Female,Private
26-10-2023,9:12 AM,IN,car,1,Male,Private
26-10-2023,9:12 AM,IN,taxi,3,Male,Rented
26-10-2023,9:12 AM,IN,car,2,Male,Private
26-10-2023,9:12 AM,IN,car,2,Male,Private
26-10-2023,9:12 AM,IN,car,3,Male,Private
26-10-2023,9:13 AM,IN,bicycle,1,Male,Private
26-10-2023,9:13 AM,IN,bus,50%,Male,Public
26-10-2023,9:13 AM,IN,car,2,Female,Private
26-10-2023,9:13 AM,IN,car,1,Female,Private
26-10-2023,9:13 AM,IN,car,1,Male,Private
26-10-2023,9:13 AM,IN,car,1,Male,Private
26-10-2023,9:13 AM,IN,bus,25%,Male,Public
26-10-2023,9:13 AM,IN,car,1,Male,Private
26-10-2023,9:13 AM,IN,bus,60%,Male,Public
26-10-2023,9:14 AM,IN,bicycle,1,Male,Private
26-10-2023,9:14 AM,IN,car,2,Male,Private
26-10-2023,9:14 AM,IN,motorbike,1,Male,Private
26-10-2023,9:14 AM,IN,car,1,Male,Private
26-10-2023,9:14 AM,IN,car,2,Female,Private
26-10-2023,9:14 AM,IN,bus,50%,Male,Public
26-10-2023,9:15 AM,IN,car,3,Male,Private
26-10-2023,9:15 AM,IN,car,1,Female,Private
26-10-2023,9:15 AM,IN,car,1,Female,Private
26-10-2023,9:15 AM,IN,car,3,Male,Private
26-10-2023,9:15 AM,IN,car,1,Male,Private
26-10-2023,9:16 AM,IN,car,1,Male,Private
26-10-2023,9:16 AM,IN,car,1,Male,Private
26-10-2023,9:16 AM,IN,bus,75%,Male,Public
26-10-2023,9:16 AM,IN,van,1,Female,Commercial
26-10-2023,9:16 AM,IN,car,1,Male,Private
26-10-2023,9:16 AM,IN,car,1,Female,Private
26-10-2023,9:16 AM,IN,motorbike,1,Male,Private
26-10-2023,9:16 AM,IN,motorbike,1,Male,Private
26-10-2023,9:17 AM,IN,car,1,Male,Private
26-10-2023,9:17 AM,IN,car,2,Male,Private
26-10-2023,9:17 AM,IN,car,2,Male,Private
26-10-2023,9:17 AM,IN,car,2,Male,Private
26-10-2023,9:17 AM,IN,car,3,Male,Private
26-10-2023,9:17 AM,IN,bus,90%,Male,Public
26-10-2023,9:18 AM,IN,car,4,Female,Private
26-10-2023,9:18 AM,IN,car,2,Female,Private
26-10-2023,9:18 AM,IN,car,1,Female,Private
26-10-2023,9:18 AM,IN,car,1,Female,Private
26-10-2023,9:18 AM,IN,bus,100%,Male,Public
26-10-2023,9:19 AM,IN,car,1,Male,Private
26-10-2023,9:19 AM,IN,car,3,Male,Private
26-10-2023,9:19 AM,IN,car,2,Male,Private
26-10-2023,9:19 AM,IN,car,1,Male,Private
26-10-2023,9:19 AM,IN,car,3,Male,Private
26-10-2023,9:19 AM,IN,car,1,Female,Private
26-10-2023,9:19 AM,IN,car,1,Male,Private
26-10-2023,9:20 AM,IN,bus,25%,Male,Public
26-10-2023,9:20 AM,IN,car,1,Female,Private
26-10-2023,9:20 AM,IN,car,1,Male,Private
26-10-2023,9:20 AM,IN,car,1,Male,Private
26-10-2023,9:20 AM,IN,car,1,Male,Private
